Set	Position	Affiliation	Faction	Name	Type	1d Cost	2d Cost	Min Cost	Max Cost	Rarity
Awakenings	1	Villain	Command	Captain Phasma	Character	12	15	12	15	Legendary
Awakenings	2	Villain	Command	First Order Stormtrooper	Character	7		7	7	Rare
Awakenings	3	Villain	Command	General Grievous	Character	13	18	13	18	Rare
Awakenings	4	Villain	Command	General Veers	Character	11	14	11	14	Rare
Awakenings	5	Villain	Command	AT-ST	Support					Legendary
Awakenings	6	Villain	Command	First Order TIE Fighter	Support					Rare
Awakenings	7	Villain	Command	Commanding Presence	Upgrade					Legendary
Awakenings	8	Villain	Command	F-11D Rifle	Upgrade					Starter
Awakenings	9	Villain	Force	Count Dooku	Character	11	15	11	15	Rare
Awakenings	10	Villain	Force	Darth Vader	Character	16	21	16	21	Legendary
Awakenings	11	Villain	Force	Kylo Ren	Character	10	13	10	13	Starter
Awakenings	12	Villain	Force	Nightsister	Character	8		8	8	Rare
Awakenings	13	Villain	Force	Force Choke	Upgrade					Legendary
Awakenings	14	Villain	Force	Immobilize	Upgrade					Rare
Awakenings	15	Villain	Force	Kylo Ren's Lightsaber	Upgrade					Legendary
Awakenings	16	Villain	Force	Sith Holocron	Upgrade					Rare
Awakenings	17	Villain	General	Infantry Grenades	Upgrade					Rare
Awakenings	18	Villain	General	Speeder Bike Scout	Support					Rare
Awakenings	19	Villain	Rogue	Bala-Tik	Character	8	11	8	11	Rare
Awakenings	20	Villain	Rogue	Jabba the Hutt	Character	11	14	11	14	Legendary
Awakenings	21	Villain	Rogue	Jango Fett	Character	12	16	12	16	Rare
Awakenings	22	Villain	Rogue	Tusken Raider	Character	9		9	9	Rare
Awakenings	23	Villain	Rogue	Crime Lord	Upgrade					Legendary
Awakenings	24	Villain	Rogue	Flame Thrower	Upgrade					Rare
Awakenings	25	Villain	Rogue	Gaffi Stick	Upgrade					Rare
Awakenings	26	Villain	Rogue	On The Hunt	Upgrade					Rare
Awakenings	27	Hero	Command	Admiral Ackbar	Character	10	14	10	14	Rare
Awakenings	28	Hero	Command	Leia Organa	Character	12	16	12	16	Rare
Awakenings	29	Hero	Command	Poe Dameron	Character	16	20	16	20	Legendary
Awakenings	30	Hero	Command	Rebel Trooper	Character	8		8	8	Rare
Awakenings	31	Hero	Command	Launch Bay	Support					Legendary
Awakenings	32	Hero	Command	Black One	Support					Legendary
Awakenings	33	Hero	Command	Scout	Upgrade					Rare
Awakenings	34	Hero	Command	Survival Gear	Upgrade					Rare
Awakenings	35	Hero	Force	Luke Skywalker	Character	15	20	15	20	Legendary
Awakenings	36	Hero	Force	Padawan	Character	8		8	8	Rare
Awakenings	37	Hero	Force	Qui-Gon Jinn	Character	13	17	13	17	Rare
Awakenings	38	Hero	Force	Rey	Character	9	12	9	12	Starter
