Set	Position	Affiliation	Faction	Name	Type	1d Cost	2d Cost	Min Cost	Max Cost	Rarity
Awakenings	17	Villain	General	Infantry Grenades	Upgrade					Rare
Awakenings	18	Villain	General	Speeder Bike Scout	Support					Rare
Awakenings	53	Neutral	Command	Outpost	Support					Rare
Awakenings	54	Neutral	Command	DH-17 Blaster Pistol	Upgrade					Rare
Awakenings	55	Neutral	Command	IQA-11 Blaster Rifle	Upgrade					Rare
Awakenings	56	Neutral	Command	Promotion	Upgrade					Rare
Awakenings	61	Neutral	General	Comlink	Upgrade					Rare
Awakenings	62	Neutral	General	Datapad	Upgrade					Rare
Awakenings	63	Neutral	General	Holdout Blaster	Upgrade					Rare
Awakenings	91	Villain	General	Nowhere to Run	Event					Uncommon
Awakenings	138	Neutral	Command	Award Ceremony	Event					Common
Awakenings	139	Neutral	Command	Dug in	Event					Uncommon
Awakenings	140	Neutral	Command	Firepower	Event					Common
Awakenings	141	Neutral	Command	Leadership	Event					Uncommon
Awakenings	142	Neutral	Command	Logistics	Event					Common
Awakenings	143	Neutral	Command	Squad Tactics	Event					Common
Awakenings	144	Neutral	Command	Supporting Fire	Support					Uncommon
Awakenings	151	Neutral	General	Aim	Event					Starter
Awakenings	152	Neutral	General	All In	Event					Uncommon
Awakenings	153	Neutral	General	Block	Event					Common
Awakenings	154	Neutral	General	Close Quarters Assault	Event					Starter
Awakenings	155	Neutral	General	Dodge	Event					Common
Awakenings	156	Neutral	General	Flank	Event					Uncommon
Awakenings	157	Neutral	General	Take Cover	Event					Common
Spirit of Rebellion	17	Villain	General	Interrogation Droid	Support					Rare
Spirit of Rebellion	51	Neutral	Command	Supply Line	Support					Rare
Spirit of Rebellion	52	Neutral	Command	Astromech	Support					Rare
Spirit of Rebellion	53	Neutral	Command	Rocket Launcher	Upgrade					Legendary
Spirit of Rebellion	57	Neutral	General	Vibroknife	Upgrade					Rare
Spirit of Rebellion	80	Villain	General	Doubt	Event					Common
Spirit of Rebellion	119	Neutral	Command	Bombing Run	Event					Uncommon
