Set	Position	Code	Affiliation	Faction	Name	Type	Is Unique	1d Points	2d Points	Min Points	Max Points	Cost	Health	Sides	Rarity	Img Src
Awakenings	1	01001	Villain	Command	Captain Phasma	Character	true	12	15	12	15		11	[1RD 2RD 1F 1Dc 1R -]	Legendary	https://swdestinydb.com/bundles/cards/en/01/01001.jpg
Awakenings	2	01002	Villain	Command	First Order Stormtrooper	Character	false	7		7	7		7	[1RD 2RD 2RD1 1R - -]	Rare	https://swdestinydb.com/bundles/cards/en/01/01002.jpg
Awakenings	3	01003	Villain	Command	General Grievous	Character	true	13	18	13	18		10	[2MD 2MD 3MD1 1Dr 1R -]	Rare	https://swdestinydb.com/bundles/cards/en/01/01003.jpg
Awakenings	4	01004	Villain	Command	General Veers	Character	true	11	14	11	14		9	[1RD 2RD +2RD 1Sh 1R -]	Rare	https://swdestinydb.com/bundles/cards/en/01/01004.jpg
Awakenings	5	01005	Villain	Command	AT-ST	Support	false					6		[3RD 4RD 5RD1 2Sh Sp Sp]	Legendary	https://swdestinydb.com/bundles/cards/en/01/01005.jpg
Awakenings	6	01006	Villain	Command	First Order TIE Fighter	Support	false					3		[1RD 2RD 3RD1 1Dr Sp -]	Rare	https://swdestinydb.com/bundles/cards/en/01/01006.jpg
Awakenings	7	01007	Villain	Command	Commanding Presence	Upgrade	false					3		[1F 2F 2Dr 1R Sp Sp]	Legendary	https://swdestinydb.com/bundles/cards/en/01/01007.jpg
Awakenings	8	01008	Villain	Command	F-11D Rifle	Upgrade	false					2		[2RD1 +1RD +2RD 1R Sp -]	Starter	https://swdestinydb.com/bundles/cards/en/01/01008.jpg
Awakenings	17	01017	Villain	General	Infantry Grenades	Upgrade	false					2		[1RD 2RD1 1R Sp - -]	Rare	https://swdestinydb.com/bundles/cards/en/01/01017.jpg
Awakenings	18	01018	Villain	General	Speeder Bike Scout	Support	false					3		[2RD 3RD1 1Dr 1Sh Sp -]	Rare	https://swdestinydb.com/bundles/cards/en/01/01018.jpg
Awakenings	53	01053	Neutral	Command	Outpost	Support	false					2		[1F 1Dr 2Dr 1Sh Sp -]	Rare	https://swdestinydb.com/bundles/cards/en/01/01053.jpg
Awakenings	54	01054	Neutral	Command	DH-17 Blaster Pistol	Upgrade	false					1		[1RD 2RD1 +2RD 1Sh - -]	Rare	https://swdestinydb.com/bundles/cards/en/01/01054.jpg
Awakenings	55	01055	Neutral	Command	IQA-11 Blaster Rifle	Upgrade	false					3		[2RD +3RD 1Dr 1R Sp -]	Rare	https://swdestinydb.com/bundles/cards/en/01/01055.jpg
Awakenings	56	01056	Neutral	Command	Promotion	Upgrade	false					1		[+1RD +1MD 1F 1Sh 1R -]	Rare	https://swdestinydb.com/bundles/cards/en/01/01056.jpg
