Set	Position	Code	Affiliation	Faction	Name	Type	Is Unique	1d Points	2d Points	Min Points	Max Points	Cost	Health	Sides	Rarity	Img Src
Awakenings	1	01001	Villain	Command	Captain Phasma	Character	true	12	15	12	15		11	[1RD 2RD 1F 1Dc 1R -]	Legendary	https://swdestinydb.com/bundles/cards/en/01/01001.jpg
Awakenings	2	01002	Villain	Command	First Order Stormtrooper	Character	false	7		7	7		7	[1RD 2RD 2RD1 1R - -]	Rare	https://swdestinydb.com/bundles/cards/en/01/01002.jpg
Awakenings	3	01003	Villain	Command	General Grievous	Character	true	13	18	13	18		10	[2MD 2MD 3MD1 1Dr 1R -]	Rare	https://swdestinydb.com/bundles/cards/en/01/01003.jpg
Awakenings	4	01004	Villain	Command	General Veers	Character	true	11	14	11	14		9	[1RD 2RD +2RD 1Sh 1R -]	Rare	https://swdestinydb.com/bundles/cards/en/01/01004.jpg
Awakenings	5	01005	Villain	Command	AT-ST	Support	false					6		[3RD 4RD 5RD1 2Sh Sp Sp]	Legendary	https://swdestinydb.com/bundles/cards/en/01/01005.jpg
Awakenings	6	01006	Villain	Command	First Order TIE Fighter	Support	false					3		[1RD 2RD 3RD1 1Dr Sp -]	Rare	https://swdestinydb.com/bundles/cards/en/01/01006.jpg
Awakenings	7	01007	Villain	Command	Commanding Presence	Upgrade	false					3		[1F 2F 2Dr 1R Sp Sp]	Legendary	https://swdestinydb.com/bundles/cards/en/01/01007.jpg
Awakenings	8	01008	Villain	Command	F-11D Rifle	Upgrade	false					2		[2RD1 +1RD +2RD 1R Sp -]	Starter	https://swdestinydb.com/bundles/cards/en/01/01008.jpg
Awakenings	68	01068	Villain	Command	Cannon Fodder	Event	false					0			Common	https://swdestinydb.com/bundles/cards/en/01/01068.jpg
Awakenings	69	01069	Villain	Command	Closing the Net	Event	false					1			Common	https://swdestinydb.com/bundles/cards/en/01/01069.jpg
Awakenings	70	01070	Villain	Command	Endless Ranks	Event	false					5			Uncommon	https://swdestinydb.com/bundles/cards/en/01/01070.jpg
Awakenings	71	01071	Villain	Command	Occupation	Event	false					2			Common	https://swdestinydb.com/bundles/cards/en/01/01071.jpg
Awakenings	72	01072	Villain	Command	Probe	Event	false					0			Common	https://swdestinydb.com/bundles/cards/en/01/01072.jpg
Awakenings	73	01073	Villain	Command	Sweep the Area	Event	false					0			Common	https://swdestinydb.com/bundles/cards/en/01/01073.jpg
Awakenings	74	01074	Villain	Command	Tactical Mastery	Event	false					1			Uncommon	https://swdestinydb.com/bundles/cards/en/01/01074.jpg
Awakenings	75	01075	Villain	Command	The Best Defense...	Event	false					1			Uncommon	https://swdestinydb.com/bundles/cards/en/01/01075.jpg
Awakenings	76	01076	Villain	Command	Drudge Work	Support	false					0			Common	https://swdestinydb.com/bundles/cards/en/01/01076.jpg
