Title	Artist	Label	Year
Pangaea	Miles Davis	4 Men With Beards	2012
Dark Magus	Miles Davis	4 Men With Beards	2011
Julian Bream's Greatest Hits Volume Two	Julian Bream	ABC Westminster Gold	1972
Dream A Little Dream	Cass Elliot	ABC/Dunhill Records	1968
The Lonesome High	Robert Millis	Abduction	2016
5 Cents A Piece	Climax Golden Twins	Abduction	2007
Philomel / Wake	Milton Babbitt	Acoustic Research	1970
Piano Sonata No. 3 / Duo For Violin And Piano	Roger Sessions	Acoustic Research	1971
25 All Time Family Favorites	Unknown Artist	All Disc	0
25 Most Beloved Melodies	Unknown Artist	All Disc	0
Tree Of Life	Alpha & Omega	Alpha & Omega Records	1996
Voice In The Wilderness	Alpha & Omega	Alpha & Omega Records	1996
Cabin Fever	Tovah Olson	American Tapes	2006
AGGREGATEPULSERIPPER (DAMAGED IIII) / 080114	Ben Vida	Amish Records	2011
Le Soleil Des Eaux / Chronochromie / Les Bandar-Log	Pierre Boulez	Angel Records	1965
In The Classic Style	Christopher Parkening	Angel Records	1968
In The Spanish Style	Christopher Parkening	Angel Records	0
Parkening Plays Bach	Christopher Parkening	Angel Records	1971
The Christopher Parkening Album	Christopher Parkening	Angel Records	1974
Piano Music Of Erik Satie, Vol. 1	Aldo Ciccolini	Angel Records	0
Collages / Revelation And Fall	Roberto Gerhard	Angel Records	1968
Quartet For The End Of Time	Olivier Messiaen	Angel Records	0
Symphony No. 4 · Tapiola	Jean Sibelius	Angel Records	1978
A Bach Celebration	Christopher Parkening	Angel Records	1985
Plague Soundscapes	The Locust	Anti-	2003
Koyaanisqatsi (Life Out Of Balance) (Original Soundtrack Album From The Motion Picture)	Philip Glass	Antilles	1983
Pet	Son Of Earth	Apostasy Recordings	2007
Plays Invasion Of The Body Snatchers	Dead Machines	Arbor	2009
Texas Sharecropper And Songster	Mance Lipscomb	Arhoolie Records	0
Duets 1976	Anthony Braxton	Arista	1976
Alto Saxophone Improvisations 1979	Anthony Braxton	Arista	1979
For Four Orchestras	Anthony Braxton	Arista	1978
Five Pieces (1975)	Anthony Braxton	Arista	1975
New York, Fall 1974	Anthony Braxton	Arista	1975
Creative Orchestra Music 1976	Anthony Braxton	Arista	1976
The Montreux / Berlin Concerts	Anthony Braxton	Arista	1977
Beyond The Realms Of Dub (Dub Me Crazy! The Second Chapter)	Mad Professor	Ariwa	1982
Dub Me Crazy Part 4 (Escape To The Asylum Of Dub)	Mad Professor	Ariwa	1983
Dub Me Crazy 6: Schizophrenic Dub	Mad Professor	Ariwa	1986
Dub Me Crazy 8: Experiments Of The Aural Kind	Mad Professor	Ariwa	1988
Dub Me Crazy 12: Dub Maniacs On The Rampage	Mad Professor	Ariwa	1992
Science And The Witch Doctor (Dub Me Crazy Part 9)	Mad Professor	Ariwa	1989
The Shape Of Jazz To Come	Ornette Coleman	Atlantic	0
Public Jestering	Lee Perry & Friends	Attack	1990
The Battle For Jerusalem: The Six Day War	No Artist	Audio Rarities	0
Howard	The Tenses	audioMER.	2014
Live!!	The Fifth Dimension	Bell Records	1971
Birthdays	Francis Dhomont	Beniffer Editions	2012
Ranie Burnette's Hill Country Blues	Ranie Burnette	Big Legal Mess Records	2012
Ammmusic	AMM	Black Truffle	2016
Untitled	Gang Wizard	Blackbean And Placenta Tape Club	2004
Heart Of The Congos	The Congos	Blood & Fire	1996
A Fifteenth Anniversary Album	Speculum Musicae	Bridge Records (4)	1985
Musique Concrète	Various	Cacophonic	2016
Tape Recorder Music	Otto Luening	Cacophonic	2013
The First Family	Bob Booker	Cadence (2)	1962
Ulysses:  Soliloquies Of Molly And Leopold Bloom	James Joyce	Caedmon Records	0
Carter / Henze	Elliott Carter	Candide	1969
Terretektorh · Nomos Gamma	Iannis Xenakis	Candide	1969
Christmas In Ireland	The Little Dublin Singers	Capitol Records	0
Daddy's Little Girl	Al Martino	Capitol Records	1967
Mary In The Morning	Al Martino	Capitol Records	1967
Galveston	Glen Campbell	Capitol Records	1969
Oh Happy Day	Glen Campbell	Capitol Records	1970
Revolver	The Beatles	Capitol Records	1971
Gentle On My Mind	Glen Campbell	Capitol Records	1967
By The Time I Get To Phoenix	Glen Campbell	Capitol Records	1967
Magical Mystery Tour	The Beatles	Capitol Records	1967
Sgt. Pepper's Lonely Hearts Club Band	The Beatles	Capitol Records	1968
Sleepless Nights	Brooklyn Dreams	Casablanca	1979
From Here To Eternity	Giorgio Moroder	Casablanca	1977
R.U.R.	Vote Robot	Catsup Plate	1996
Changes	John Williams (7)	CBS	1971
Satyagraha	Philip Glass	CBS	1985
Technical Series - Professional Test Record - Issue 3	No Artist	CBS Laboratories	0
Manuel Ponce	John Williams (7)	CBS Masterworks	1978
Boulez Conducts Schoenberg	Arnold Schoenberg	CBS Masterworks	1978
Die Glückliche Hand / Lieder Op. 22 / Kammersinfonien 1 & 2 / Erwartung / Jakobsleiter / Drei Stücke (1910)	Arnold Schoenberg	CBS Masterworks	1982
The Guitar Is The Song	John Williams (7)	CBS	1983
Perez Prado Greats Plus Other Latin American Favorites	Perez Prado	Celebrity Records (3)	0
