set date	set code	card name	mana cost	colors	types	subtypes	rarity
2018-04-27	DOM	Adventurous Impulse	1.0	["G"]	["Sorcery"]	[]	common
2018-04-27	DOM	Ancient Animus	2.0	["G"]	["Instant"]	[]	common
2018-04-27	DOM	Arbor Armament	1.0	["G"]	["Instant"]	[]	common
2018-04-27	DOM	Baloth Gorger	4.0	["G"]	["Creature"]	["Beast"]	common
2018-04-27	DOM	Broken Bond	2.0	["G"]	["Sorcery"]	[]	common
2018-04-27	DOM	Corrosive Ooze	2.0	["G"]	["Creature"]	["Ooze"]	common
2018-04-27	DOM	Elfhame Druid	2.0	["G"]	["Creature"]	["Elf" "Druid"]	uncommon
2018-04-27	DOM	Fungal Plots	2.0	["G"]	["Enchantment"]	[]	uncommon
2018-04-27	DOM	Gaea's Blessing	2.0	["G"]	["Sorcery"]	[]	uncommon
2018-04-27	DOM	Gaea's Protector	4.0	["G"]	["Creature"]	["Elemental" "Warrior"]	common
2018-04-27	DOM	Gift of Growth	2.0	["G"]	["Instant"]	[]	common
2018-04-27	DOM	Grow from the Ashes	3.0	["G"]	["Sorcery"]	[]	common
2018-04-27	DOM	Grunn, the Lonely King	6.0	["G"]	["Creature"]	["Ape" "Warrior"]	uncommon
2018-04-27	DOM	Kamahl's Druidic Vow	2.0	["G"]	["Sorcery"]	[]	rare
2018-04-27	DOM	Krosan Druid	3.0	["G"]	["Creature"]	["Centaur" "Druid"]	common
2018-04-27	DOM	Llanowar Elves	1.0	["G"]	["Creature"]	["Elf" "Druid"]	common
2018-04-27	DOM	Llanowar Envoy	3.0	["G"]	["Creature"]	["Elf" "Scout"]	common
2018-04-27	DOM	Llanowar Scout	2.0	["G"]	["Creature"]	["Elf" "Scout"]	common
2018-04-27	DOM	Mammoth Spider	5.0	["G"]	["Creature"]	["Spider"]	common
2018-04-27	DOM	Marwyn, the Nurturer	3.0	["G"]	["Creature"]	["Elf" "Druid"]	rare
2018-04-27	DOM	The Mending of Dominaria	5.0	["G"]	["Enchantment"]	["Saga"]	rare
2018-04-27	DOM	Multani, Yavimaya's Avatar	6.0	["G"]	["Creature"]	["Elemental" "Avatar"]	mythic
2018-04-27	DOM	Nature's Spiral	2.0	["G"]	["Sorcery"]	[]	uncommon
2018-04-27	DOM	Pierce the Sky	2.0	["G"]	["Instant"]	[]	common
2018-04-27	DOM	Primordial Wurm	6.0	["G"]	["Creature"]	["Wurm"]	common
2018-04-27	DOM	Saproling Migration	2.0	["G"]	["Sorcery"]	[]	common
2018-04-27	DOM	Song of Freyalise	2.0	["G"]	["Enchantment"]	["Saga"]	uncommon
2018-04-27	DOM	Spore Swarm	4.0	["G"]	["Instant"]	[]	uncommon
2018-04-27	DOM	Sporecrown Thallid	2.0	["G"]	["Creature"]	["Fungus"]	uncommon
2018-04-27	DOM	Steel Leaf Champion	3.0	["G"]	["Creature"]	["Elf" "Knight"]	rare
2018-04-27	DOM	Sylvan Awakening	3.0	["G"]	["Sorcery"]	[]	rare
2018-04-27	DOM	Territorial Allosaurus	4.0	["G"]	["Creature"]	["Dinosaur"]	rare
2018-04-27	DOM	Thorn Elemental	7.0	["G"]	["Creature"]	["Elemental"]	uncommon
2018-04-27	DOM	Untamed Kavu	2.0	["G"]	["Creature"]	["Kavu"]	uncommon
2018-04-27	DOM	Verdant Force	8.0	["G"]	["Creature"]	["Elemental"]	rare
2018-04-27	DOM	Wild Onslaught	4.0	["G"]	["Instant"]	[]	uncommon
2018-04-27	DOM	Yavimaya Sapherd	3.0	["G"]	["Creature"]	["Fungus"]	common
2018-04-27	DOM	Darigaaz Reincarnated	7.0	["B" "G" "R"]	["Creature"]	["Dragon"]	mythic
2018-04-27	DOM	Grand Warlord Radha	4.0	["G" "R"]	["Creature"]	["Elf" "Warrior"]	rare
2018-04-27	DOM	Hallar, the Firefletcher	3.0	["G" "R"]	["Creature"]	["Elf" "Archer"]	uncommon
2018-04-27	DOM	Muldrotha, the Gravetide	6.0	["B" "G" "U"]	["Creature"]	["Elemental" "Avatar"]	mythic
2018-04-27	DOM	Shanna, Sisay's Legacy	2.0	["G" "W"]	["Creature"]	["Human" "Warrior"]	uncommon
2018-04-27	DOM	Slimefoot, the Stowaway	3.0	["B" "G"]	["Creature"]	["Fungus"]	uncommon
2018-04-27	DOM	Tatyova, Benthic Druid	5.0	["G" "U"]	["Creature"]	["Merfolk" "Druid"]	uncommon
2018-10-05	GRN	Affectionate Indrik	6.0	["G"]	["Creature"]	["Beast"]	uncommon
2018-10-05	GRN	Arboretum Elemental	9.0	["G"]	["Creature"]	["Elemental"]	uncommon
2018-10-05	GRN	Beast Whisperer	4.0	["G"]	["Creature"]	["Elf" "Druid"]	rare
2018-10-05	GRN	Bounty of Might	6.0	["G"]	["Instant"]	[]	rare
2018-10-05	GRN	Circuitous Route	4.0	["G"]	["Sorcery"]	[]	uncommon
2018-10-05	GRN	Crushing Canopy	3.0	["G"]	["Instant"]	[]	common
2018-10-05	GRN	Devkarin Dissident	2.0	["G"]	["Creature"]	["Elf" "Warrior"]	common
2018-10-05	GRN	District Guide	3.0	["G"]	["Creature"]	["Elf" "Scout"]	uncommon
2018-10-05	GRN	Generous Stray	3.0	["G"]	["Creature"]	["Cat"]	common
2018-10-05	GRN	Golgari Raiders	4.0	["G"]	["Creature"]	["Elf" "Warrior"]	uncommon
2018-10-05	GRN	Grappling Sundew	2.0	["G"]	["Creature"]	["Plant"]	uncommon
2018-10-05	GRN	Hatchery Spider	7.0	["G"]	["Creature"]	["Spider"]	rare
2018-10-05	GRN	Hitchclaw Recluse	3.0	["G"]	["Creature"]	["Spider"]	common
2018-10-05	GRN	Ironshell Beetle	2.0	["G"]	["Creature"]	["Insect"]	common
2018-10-05	GRN	Kraul Foragers	5.0	["G"]	["Creature"]	["Insect" "Scout"]	common
2018-10-05	GRN	Kraul Harpooner	2.0	["G"]	["Creature"]	["Insect" "Warrior"]	uncommon
2018-10-05	GRN	Might of the Masses	1.0	["G"]	["Instant"]	[]	uncommon
2018-10-05	GRN	Nullhide Ferox	4.0	["G"]	["Creature"]	["Beast"]	mythic
2018-10-05	GRN	Pack's Favor	3.0	["G"]	["Instant"]	[]	common
2018-10-05	GRN	Pause for Reflection	3.0	["G"]	["Instant"]	[]	common
2018-10-05	GRN	Pelt Collector	1.0	["G"]	["Creature"]	["Elf" "Warrior"]	rare
2018-10-05	GRN	Portcullis Vine	1.0	["G"]	["Creature"]	["Plant" "Wall"]	common
2018-10-05	GRN	Prey Upon	1.0	["G"]	["Sorcery"]	[]	common
2018-10-05	GRN	Siege Wurm	7.0	["G"]	["Creature"]	["Wurm"]	common
2018-10-05	GRN	Sprouting Renewal	3.0	["G"]	["Sorcery"]	[]	uncommon
