Set	SetName	Number	Alliance	Category	Class	Name	Rarity
1	Champions	10	Chaos	Champion	Warrior	Valkia the Bloody	Rare
2	Onslaught	3	Chaos	Champion	Wizard	The Changeling	Rare
2	Onslaught	5	Chaos	Champion	Warrior	Skarbrand	Rare
1	Champions	27	Death	Champion	Warrior	Keldrek, the Knight of Shrouds	Rare
1	Champions	29	Death	Champion	Warrior Wizard	Bloody Vampire Queen	Rare
1	Champions	41	Destruction	Champion	Wizard	Kunnin' Grot Shaman	Rare
1	Champions	47	Destruction	Champion	Warrior	Megaboss on Maw-Krusha	Rare
1	Champions	48	Destruction	Champion	Warrior	Gordrakk, Fist of Gork	Rare
1	Champions	59	Order	Champion	Warrior	Vandus Hammerhand	Rare
2	Onslaught	29	Chaos	Unit		Tzaangor Skyfires	Rare
1	Champions	93	Death	Unit		Frenzied Vargheist	Rare
1	Champions	106	Destruction	Unit		Banner Carrier	Rare
1	Champions	110	Destruction	Unit		Crowded Wolf Chariot	Rare
1	Champions	125	Order	Unit		Aetherwing Scout	Rare
2	Onslaught	56	Order	Unit		Wild Allopex Riders	Rare
2	Onslaught	70	Chaos	Spell		Treacherous Bond	Rare
1	Champions	191	Order	Spell		Stand Fast	Rare
2	Onslaught	79	Order	Spell		Abyssal Darkness	Rare
2	Onslaught	83	Any	Ability	Warrior	Beat Back	Rare
1	Champions	213	Death	Ability	Warrior	Frightful Strike	Rare
1	Champions	216	Destruction	Ability	Warrior	Grot Ambush	Rare
2	Onslaught	101	Destruction	Ability	Warrior	Surround 'Em	Rare
1	Champions	31	Death	Champion	Warrior Wizard	Neferata, Mortarch of Blood	Rare
2	Onslaught	9	Death	Champion	Wizard	Lady Olynder, Mortarch of Grief	Rare
1	Champions	44	Destruction	Champion	Wizard	Snazzgar Stinkmullett	Rare
2	Onslaught	19	Order	Champion	Warrior	Volturnos, High King of the Deep	Rare
1	Champions	90	Death	Unit		Fearsome Crypt Flayer	Rare
1	Champions	99	Death	Unit		Shrieking Terrorgheist	Rare
2	Onslaught	36	Death	Unit		Myrmourn Banshees	Rare
1	Champions	123	Destruction	Unit		Trampling Grunta	Rare
1	Champions	129	Order	Unit		Celestial Prosecutor	Rare
1	Champions	132	Order	Unit		Gryph-Charger Pack	Rare
1	Champions	133	Order	Unit		Hurricane Raptor	Rare
1	Champions	184	Order	Spell		Inspired Glory	Rare
1	Champions	227	Order	Ability	Warrior	Lord of the Host	Rare
2	Onslaught	110	Any	Blessing		Purefire Brazier	Rare
1	Champions	12	Chaos	Champion	Warrior	Marakarr Blood-Sky	Rare
2	Onslaught	7	Death	Champion	Warrior	Crawlocke the Jailor	Rare
1	Champions	53	Order	Champion	Warrior	Lotann	Rare
1	Champions	62	Order	Champion	Warrior	Vorrus Starstrike	Rare
1	Champions	71	Chaos	Unit		Fearless Khorgoraths	Rare
1	Champions	96	Death	Unit		Infected Terrorgheist	Rare
2	Onslaught	32	Death	Unit		Blood Knight Kastellan	Rare
1	Champions	109	Destruction	Unit		Cowardly Grots	Rare
1	Champions	118	Destruction	Unit		Prowling Wolf	Rare
2	Onslaught	47	Destruction	Unit		Thundertusk Beastriders	Rare
1	Champions	159	Death	Spell		Black Hunger	Rare
1	Champions	161	Death	Spell		Claws of the Grave	Rare
2	Onslaught	77	Destruction	Spell		The Maw	Rare
2	Onslaught	87	Chaos	Ability	Wizard	Costly Ritual	Rare
1	Champions	211	Death	Ability	Wizard	Deathly Resolve	Rare
1	Champions	30	Death	Champion	Warrior Wizard	Coven Throne	Rare
1	Champions	63	Order	Champion	Wizard	Aspect of the Sea	Rare
1	Champions	64	Order	Champion	Warrior Wizard	Celestant-Prime	Rare
2	Onslaught	20	Order	Champion	Warrior Wizard	Aventis, Magister of Hammerhal	Rare
1	Champions	77	Chaos	Unit		Rampaging Bloodreavers	Rare
1	Champions	103	Death	Unit		Unhallowed Mortis Engine	Rare
1	Champions	151	Chaos	Spell		Flow of Chaos	Rare
1	Champions	153	Chaos	Spell		Infernal Gateway	Rare
1	Champions	173	Destruction	Spell		Call of War	Rare
1	Champions	174	Destruction	Spell		Empower the Hordes	Rare
1	Champions	190	Order	Spell		Seeker of Souls	Rare
1	Champions	202	Chaos	Ability	Warrior	Frenzied Devotion	Rare
2	Onslaught	96	Death	Ability	Wizard	Rewrought from Death	Rare
1	Champions	223	Order	Ability	Wizard	Celestial Fate	Rare
2	Onslaught	114	Any	Blessing		Growth of Ghyran	Rare
1	Champions	9	Chaos	Champion	Warrior	Skarr Bloodwrath	Rare
1	Champions	14	Chaos	Champion	Wizard	Kairos Fateweaver	Rare
1	Champions	16	Chaos	Champion	Warrior Wizard	Archaon	Rare
1	Champions	32	Death	Champion	Wizard	Nagash, Supreme Lord of the Undead	Rare
1	Champions	46	Destruction	Champion	Warrior	Loud-Mouthed Megaboss	Rare
2	Onslaught	14	Destruction	Champion	Warrior	Frostlord Vorgrun Loshar	Rare
2	Onslaught	15	Destruction	Champion	Warrior Wizard	Flame-Belching Firebelly	Rare
1	Champions	67	Chaos	Unit		Bloodfury Wrathmonger	Rare
1	Champions	79	Chaos	Unit		Skullreaper Icon Bearer	Rare
1	Champions	80	Chaos	Unit		Slashing Screamer	Rare
2	Onslaught	22	Chaos	Unit		Brazen Skullgrinder	Rare
2	Onslaught	39	Destruction	Unit		Bossy Orruk	Rare
1	Champions	128	Order	Unit		Biovoltaic Morrsarr Guard	Rare
2	Onslaught	54	Order	Unit		Staunch Evocator	Rare
2	Onslaught	57	Any	Spell		Burning Head	Rare
2	Onslaught	62	Any	Spell		Emerald Lifeswarm	Rare
1	Champions	155	Chaos	Spell		Pain-Induced Fury	Rare
1	Champions	169	Death	Spell		Terrify	Rare
2	Onslaught	74	Death	Spell		Wraithstorm	Rare
1	Champions	176	Destruction	Spell		Foot of Gork	Rare
2	Onslaught	84	Any	Ability	Wizard	Grim Portents	Rare
1	Champions	204	Chaos	Ability	Wizard	Gaze of Khorne	Rare
1	Champions	218	Destruction	Ability	Warrior	Mosh Pit	Rare
2	Onslaught	103	Order	Ability	Warrior	Order Before Glory	Rare
